Date,open,high,low,close,volume,dividends,stock splits
1984-07-11,15.5625,15.75,15.125,15.125,696000.0,0.0,0.0
1984-07-12,15.25,15.25,14.0,14.5625,1725800.0,0.0,0.0
1984-07-13,14.875,14.875,14.5625,14.75,934400.0,0.0,0.0
1984-07-16,14.75,14.9375,14.375,14.9375,532800.0,0.0,0.0
1984-07-17,14.875,15.0625,14.75,14.875,544400.0,0.0,0.0
1984-07-18,14.9375,15.0,14.5625,14.75,941800.0,0.0,0.0
1984-07-19,14.625,14.625,13.1875,13.3125,1932800.0,0.0,0.0
1984-07-20,13.5,13.75,13.25,13.3125,1329200.0,0.0,0.0
1984-07-23,13.0625,13.3125,12.9375,13.125,893600.0,0.0,0.0
1984-07-24,13.25,13.4375,12.6875,12.8125,491400.0,0.0,0.0
1984-07-25,12.75,13.625,12.5625,13.4375,978800.0,0.0,0.0
1984-07-26,13.6875,14.1875,13.5625,14.125,796200.0,0.0,0.0
1984-07-27,14.125,14.875,14.125,14.75,995800.0,0.0,0.0
1984-07-30,14.6875,14.875,14.0625,14.125,335600.0,0.0,0.0
1984-07-31,14.125,14.625,14.125,14.5,430200.0,0.0,0.0
1984-08-01,14.5,15.3125,14.5,15.3125,1007800.0,0.0,0.0
1984-08-02,15.5625,16.0625,15.4375,15.875,1717800.0,0.0,0.0
1984-08-03,18.3125,18.3125,16.875,17.5625,4924000.0,0.0,0.0
1984-08-06,17.625,18.0625,17.3125,17.625,2302000.0,0.0,0.0
1984-08-07,17.4375,17.9375,17.125,17.6875,1343000.0,0.0,0.0
1984-08-08,17.75,17.875,17.3125,17.3125,1068400.0,0.0,0.0
1984-08-09,17.3125,19.0,17.25,18.875,2124000.0,0.0,0.0
1984-08-10,19.125,19.25,18.125,18.1875,2220000.0,0.0,0.0
1984-08-13,18.125,19.125,18.0,19.0,883200.0,0.0,0.0
1984-08-14,19.0,19.125,18.375,18.4375,859000.0,0.0,0.0
1984-08-15,18.3125,18.75,18.125,18.5,1054000.0,0.0,0.0
1984-08-16,18.5625,19.375,18.5625,19.0625,1225600.0,0.0,0.0
1984-08-17,19.375,19.4375,19.125,19.375,984200.0,0.0,0.0
1984-08-20,19.3125,19.5625,19.1875,19.5625,712800.0,0.0,0.0
1984-08-21,19.5,20.25,19.5,20.25,1612600.0,0.0,0.0
1984-08-22,20.125,20.3125,19.5625,19.75,1049400.0,0.0,0.0
1984-08-23,19.75,20.5,19.6875,20.5,876200.0,0.0,0.0
1984-08-24,20.375,20.5625,20.125,20.375,763400.0,0.0,0.0
1984-08-27,20.125,20.125,19.75,20.0,594200.0,0.0,0.0
1984-08-28,20.0,20.25,20.0,20.1875,614200.0,0.0,0.0
1984-08-29,20.25,20.4375,20.25,20.3125,466400.0,0.0,0.0
1984-08-30,20.25,20.375,19.9375,19.9375,427800.0,0.0,0.0
