date,value,cash
2018-12-27,214148.76322289076,78971.67904834388
2018-12-28,215060.16686548505,78971.67904834388
2018-12-31,215225.25546747455,78971.67904834388
2019-01-02,219923.30049796868,78971.67904834388
2019-01-03,218715.61233388982,78971.67904834388
2019-01-04,224054.26003651292,78971.67904834388
2019-01-07,229775.25561427482,114887.62780713737
2019-01-08,229075.2752911403,114887.62780713737
2019-01-09,230339.336257008,114887.62780713737
2019-01-10,230881.1099650885,114887.62780713737
2019-01-11,232006.99333823012,114887.62780713737
2019-01-14,230176.6451736423,114887.62780713737
2019-01-15,231216.3027096438,114887.62780713737
2019-01-16,227593.41413499357,114887.62780713737
2019-01-17,227753.5296714196,114887.62780713737
2019-01-18,234108.36695396877,114887.62780713737
2019-01-22,230332.51108023545,114887.62780713737
2019-01-23,230322.45238935272,114887.62780713737
2019-01-24,233676.66349400816,114887.62780713737
2019-01-25,237380.6553476945,114887.62780713737
2019-01-28,233966.32118087067,114887.62780713737
2019-01-29,232594.7327864844,114887.62780713737
2019-01-30,235428.84862432914,114887.62780713737
2019-01-31,237303.786574265,114887.62780713737
2019-02-01,239462.5889482247,114887.62780713737
2019-02-04,241060.961789859,114887.62780713737
2019-02-05,242074.4422039308,114887.62780713737
2019-02-06,248433.68932639045,114887.62780713737
2019-02-07,245578.89203143716,85952.61221100303
2019-02-08,248359.69971233432,85952.61221100303
2019-02-11,247141.8629325594,85952.61221100303
2019-02-12,246944.4235280428,85952.61221100303
2019-02-13,249844.102595762,85952.61221100303
2019-02-14,250275.2569558266,85952.61221100303
2019-02-15,251643.64943141738,85952.61221100303
2019-02-19,252179.26329018298,85952.61221100303
2019-02-20,252986.2969563311,85952.61221100303
2019-02-21,251405.44495717157,85952.61221100303
2019-02-22,254843.45601484153,85952.61221100303
2019-02-25,260944.72862831948,85952.61221100303
2019-02-26,258393.67049244454,85952.61221100303
2019-02-27,255914.0318558899,85952.61221100303
2019-02-28,256311.71014489216,85952.61221100303
2019-03-01,257371.71372015437,85952.61221100303
2019-03-04,259750.94873392943,85952.61221100303
2019-03-05,257466.49997046083,85952.61221100303
2019-03-06,252248.61576926248,85952.61221100303
2019-03-07,249749.56857925758,24974.956857925732
2019-03-08,247296.9436818224,24974.956857925732
2019-03-11,254140.0856303856,24974.956857925732
2019-03-12,257495.8421852673,24974.956857925732
2019-03-13,260416.18144667015,24974.956857925732
2019-03-14,262037.7843533961,24974.956857925732
2019-03-15,261533.09802328673,24974.956857925732
2019-03-18,265516.34566164296,24974.956857925732
2019-03-19,265826.0823083856,24974.956857925732
2019-03-20,266145.7760743913,24974.956857925732
2019-03-21,268377.7677083134,24974.956857925732
2019-03-22,258386.31900970452,24974.956857925732
2019-03-25,260653.4206057398,24974.956857925732
2019-03-26,262633.12599094165,24974.956857925732
2019-03-27,264674.90096290543,24974.956857925732
2019-03-28,268135.74309754523,24974.956857925732
2019-03-29,268444.03485581523,24974.956857925732
2019-04-01,273242.4606902323,24974.956857925732
2019-04-02,271471.2288593028,24974.956857925732
2019-04-03,272558.79679985024,24974.956857925732
2019-04-04,279239.8978523204,24974.956857925732
2019-04-05,282660.32720208913,24974.956857925732
2019-04-08,284394.3516925209,28439.43516925203
2019-04-09,280825.54508343,28439.43516925203
2019-04-10,285822.53249454114,28439.43516925203
2019-04-11,287028.83372264315,28439.43516925203
2019-04-12,281771.7914318327,28439.43516925203
2019-04-15,282478.0307184562,28439.43516925203
2019-04-16,286051.470319912,28439.43516925203
2019-04-17,283473.67652525794,28439.43516925203
2019-04-18,282899.26491907676,28439.43516925203
2019-04-22,283267.34727541066,28439.43516925203
2019-04-23,284907.9818405576,28439.43516925203
2019-04-24,279578.6338672633,28439.43516925203
2019-04-25,277509.24228970474,28439.43516925203
2019-04-26,277638.9695580446,28439.43516925203
2019-04-29,278238.1802999079,28439.43516925203
2019-04-30,273330.75055763416,28439.43516925203
2019-05-01,268543.5494173938,28439.43516925203
2019-05-02,267171.62479365483,28439.43516925203
2019-05-03,271639.95174788457,28439.43516925203
2019-05-06,269508.7784506326,28439.43516925203
2019-05-07,262435.50597503874,13121.775298751949
2019-05-08,261338.50190928348,13121.775298751949
2019-05-09,258783.28007032815,13121.775298751949
2019-05-10,257776.7356630324,13121.775298751949
2019-05-13,246031.4266024178,13121.775298751949
2019-05-14,253639.38043674457,13121.775298751949
2019-05-15,254531.22107727028,13121.775298751949
2019-05-16,253150.14196787126,13121.775298751949
2019-05-17,248434.16693956158,13121.775298751949
2019-05-20,241786.06680152644,13121.775298751949
2019-05-21,246172.65432693064,13121.775298751949
2019-05-22,238740.1862048482,13121.775298751949
2019-05-23,230287.0912438744,13121.775298751949
2019-05-24,231101.36717742082,13121.775298751949
2019-05-28,227535.63066211191,13121.775298751949
2019-05-29,227014.46808974948,13121.775298751949
2019-05-30,226320.7760269186,13121.775298751949
2019-05-31,222278.92576286866,13121.775298751949
2019-06-03,223217.2879378714,13121.775298751949
2019-06-04,230690.58630137358,13121.775298751949
2019-06-05,226128.49668180395,13121.775298751949
2019-06-06,230020.2514554609,13121.775298751949
2019-06-07,230018.00786036783,46003.60157207356
2019-06-10,229865.50660815818,46003.60157207356
2019-06-11,228398.86730271726,46003.60157207356
2019-06-12,226421.29200137188,46003.60157207356
2019-06-13,228425.16406673624,46003.60157207356
2019-06-14,226847.71149073567,46003.60157207356
2019-06-17,228014.8173048189,46003.60157207356
2019-06-18,230613.97297473933,46003.60157207356
2019-06-19,229544.50562468643,46003.60157207356
2019-06-20,232591.7722777448,46003.60157207356
2019-06-21,233216.566290526,46003.60157207356
2019-06-24,231521.54647581247,46003.60157207356
2019-06-25,232728.23139208258,46003.60157207356
2019-06-26,236382.21087667096,46003.60157207356
2019-06-27,238782.97781481195,46003.60157207356
2019-06-28,239367.05049617015,46003.60157207356
2019-07-01,240162.85747248703,46003.60157207356
2019-07-02,239747.64805205306,46003.60157207356
2019-07-03,241483.0840552661,46003.60157207356
2019-07-05,240563.45867421306,46003.60157207356
2019-07-08,242439.95927309134,24243.995927309123
2019-07-09,241581.7005980704,24243.995927309123
2019-07-10,242513.12805318565,24243.995927309123
2019-07-11,246867.58046452992,24243.995927309123
2019-07-12,251992.48427126935,24243.995927309123
2019-07-15,253082.9981988829,24243.995927309123
2019-07-16,254065.05924176105,24243.995927309123
2019-07-17,251029.68857993014,24243.995927309123
2019-07-18,249370.73352613722,24243.995927309123
2019-07-19,249787.27781985956,24243.995927309123
2019-07-22,247015.6371942864,24243.995927309123
2019-07-23,251312.06234691266,24243.995927309123
2019-07-24,256495.16590085017,24243.995927309123
2019-07-25,253082.86295195224,24243.995927309123
2019-07-26,252832.59230592207,24243.995927309123
2019-07-29,252044.0024122598,24243.995927309123
2019-07-30,253979.5682893214,24243.995927309123
2019-07-31,252122.49000285982,24243.995927309123
2019-08-01,244892.05582989551,24243.995927309123
2019-08-02,241814.88973434264,24243.995927309123
2019-08-05,232159.27325534177,24243.995927309123
2019-08-06,233321.0598512584,24243.995927309123
2019-08-07,233170.5092855137,23317.05092855134
2019-08-08,234986.97910918493,23317.05092855134
2019-08-09,233943.69571032995,23317.05092855134
2019-08-12,231851.82453223487,23317.05092855134
2019-08-13,237565.90057627507,23317.05092855134
2019-08-14,226932.04559155967,23317.05092855134
2019-08-15,221661.52365051885,23317.05092855134
2019-08-16,230207.29636330245,23317.05092855134
2019-08-19,238160.4149215469,23317.05092855134
2019-08-20,235440.43764777522,23317.05092855134
2019-08-21,236196.3673750579,23317.05092855134
2019-08-22,237764.2456631958,23317.05092855134
2019-08-23,228865.23530107885,23317.05092855134
2019-08-26,233379.0489638381,23317.05092855134
2019-08-27,231043.77603204985,23317.05092855134
2019-08-28,234824.70808914118,23317.05092855134
2019-08-29,240215.94683629164,23317.05092855134
2019-08-30,240790.83027805292,23317.05092855134
2019-09-03,238767.07607604202,23317.05092855134
2019-09-04,241673.8906311209,23317.05092855134
2019-09-05,250218.04343393113,23317.05092855134
2019-09-06,250539.8329578308,23317.05092855134
2019-09-09,255164.56628086045,89307.59819830113
2019-09-10,258871.9625948781,89307.59819830113
2019-09-11,263071.3320667403,89307.59819830113
2019-09-12,261582.1147228908,89307.59819830113
2019-09-13,263102.50840127806,89307.59819830113
2019-09-16,271809.83261711395,89307.59819830113
2019-09-17,265283.00566767965,89307.59819830113
2019-09-18,264674.95729690266,89307.59819830113
2019-09-19,261240.49699876405,89307.59819830113
2019-09-20,260745.26486646125,89307.59819830113
2019-09-23,261243.53544373915,89307.59819830113
2019-09-24,255406.3634095848,89307.59819830113
2019-09-25,256339.73741377218,89307.59819830113
2019-09-26,253074.78797969734,89307.59819830113
