date,value,cash,stocks_value
2022-10-10,152905.8977151149,114748.5091867862,38157.3885283287
2022-10-11,153065.17090008076,114748.5091867862,38316.66171329457
2022-10-12,152699.83180406113,114748.5091867862,37951.32261727494
2022-10-13,153584.7968680359,114748.5091867862,38836.287681249676
2022-10-14,153000.46158933008,114748.5091867862,38251.95240254387
2022-10-17,153985.64070071524,114748.5091867862,39237.13151392905
2022-10-18,154384.57694576017,114748.5091867862,39636.067758973964
2022-10-19,153417.35394840094,114748.5091867862,38668.844761614746
2022-10-20,153254.29350972865,114748.5091867862,38505.78432294244
2022-10-21,153973.7438178305,114748.5091867862,39225.23463104428
2022-10-24,154195.79744614067,114748.5091867862,39447.28825935448
2022-10-25,155123.57685731744,114748.5091867862,40375.067670531236
2022-10-26,154671.909086153,114748.5091867862,39923.3998993668
2022-10-27,153849.27496885322,114748.5091867862,39100.765782067014
2022-10-28,154520.67497459042,114748.5091867862,39772.1657878042
2022-10-31,154275.7482537263,114748.5091867862,39527.2390669401
2022-11-01,154368.2573497584,114748.5091867862,39619.7481629722
2022-11-02,153843.314490718,114748.5091867862,39094.80530393182
2022-11-03,153362.73730603504,114748.5091867862,38614.22811924884
2022-11-04,154233.05655363828,114748.5091867862,39484.54736685208
2022-11-07,154025.4094379873,103950.87714764706,50074.53229034024
2022-11-08,154368.98283037497,103950.87714764706,50418.10568272792
2022-11-09,153870.19586900354,103950.87714764706,49919.31872135647
2022-11-10,157019.63410888016,103950.87714764706,53068.7569612331
2022-11-11,158189.47007484047,103950.87714764706,54238.59292719343
2022-11-14,157222.44864704114,103950.87714764706,53271.57149939407
2022-11-15,157769.24455089797,103950.87714764706,53818.3674032509
2022-11-16,157174.50526383164,103950.87714764706,53223.62811618459
2022-11-17,156169.55354355916,103950.87714764706,52218.67639591211
2022-11-18,156433.68259605597,103950.87714764706,52482.80544840891
2022-11-21,156440.31762387295,103950.87714764706,52489.44047622589
2022-11-22,157275.06564347039,103950.87714764706,53324.18849582333
2022-11-23,157345.95914154217,103950.87714764706,53395.08199389512
2022-11-25,157585.18391083117,103950.87714764706,53634.3067631841
2022-11-28,156932.46913826518,103950.87714764706,52981.59199061811
2022-11-29,157144.16262019807,103950.87714764706,53193.28547255101
2022-11-30,158670.13451083004,103950.87714764706,54719.257363183
2022-12-01,158976.3367264499,103950.87714764706,55025.459578802824
2022-12-02,158619.52258598333,103950.87714764706,54668.64543833628
2022-12-05,156882.13404908465,103950.87714764706,52931.25690143759
2022-12-06,155889.0109111419,103950.87714764706,51938.13376349485
2022-12-07,156015.1505712019,105293.74217783344,50721.40839336846
2022-12-08,156414.95611766516,105293.74217783344,51121.21393983171
2022-12-09,155960.05909277947,105293.74217783344,50666.316914946045
2022-12-12,156378.3989067936,105293.74217783344,51084.65672896015
2022-12-13,157027.8335776751,105293.74217783344,51734.09139984166
2022-12-14,157006.56992649334,105293.74217783344,51712.82774865988
2022-12-15,156269.43203744423,105293.74217783344,50975.6898596108
